Title,Artist,Cleaned_Lyrics
Euphoria,Kendrick Lamar,1369 contributorstranslationsportuguêstürkçeespañolрусскийpolskiไทย phasa thairomânădeutschfrançaisitaliano euphoria lyrics eurt si em tuoba yas yeht gnihtyreve euphoria them super powers gettin neutralized i can only watch in silence the famous actor we once knew is lookin paranoid and now is spiralin you re movin just like a degenerate every antic is feelin distasteful i calculate you re not as calculated i can even predict your angle fabricatin stories on the family front cause you heard mr morale a pathetic master manipulator i can smell the tales on you now you rе not a rap artist you a scam artist with the hopes of being accеpted tommy hilfiger stood out but fubu never had been your collection i make music that electrify em you make music that pacify em i can double down on that line but spare you this time that s random acts of kindness know you a master manipulator and habitual liar too but don t tell no lie about me and i won t tell truths bout you shoo shoo shoo shoo shoo shoo bee bee bee bee bee bee you might also like yeah i m out the way yeah i m low okay yeah the island right here s remote okay i ain t thinkin about no reaper nigga i m reapin what i sow okay got a benjamin and a jackson all in my house like i m joe okay hellcat made his homeboys and them type sell they soul okay everybody wanna be demon til they get chipped by a throwaway and i might do a show a day once a lame always a lame oh you thought the money the power or fame would make you go away have you ever played have you ever okay nigga let s play have you ever walked your enemy down like with a poker face have you ever paid five hundred thou like to an open case well i have and i failed at both but i came out straight i hate when a rapper talk about guns then somebody die they turn into nuns then hop online like pray for my city he fakin for likes and digital hugs his daddy a killer he wanna be junior they must ve forgot the shit that they done dementia must run in his family but let it get shaky i ll park his son the very first time i shot me a drac the homie had told me to aim it this way i didn t point down enough today i ll show you i learned from those mistakes somebody had told me that you got a ring on god i m ready to double the wage i d rather do that than let a canadian nigga make pac turn in his grave cutthroat business you got shit twisted what is it the braids i hurt your feelings you don t wanna work with me no more okay it s three goats left and i seen two of them kissin and huggin on stage i love em to death and in eight bars i ll explain that phrase huh it s nothin nobody can tell me huh i don t wanna talk on no celly huh you know i got language barriers huh it s no accent you can sell me huh yeah cole and aubrey know i m a selfish nigga the crown is heavy huh i pray they my real friends if not i m ynw melly i don t like you poppin shit at pharrell for him i inherit the beef yeah fuck all that pushin p let me see you push a t you better off spinnin again on him you think about pushin me he s terrence thornton i m terence crawford yeah i m whoopin feet we ain t gotta get personal this a friendly fade you should keep it that way i know some shit about niggas that make gunna wunna look like a saint this ain t been about critics not about gimmicks not about who the greatest it s always been about love and hate now let me say i m the biggest hater i hate the way that you walk the way that you talk i hate the way that you dress i hate the way that you sneak diss if i catch flight it s gon be direct we hate the bitches you fuck cause they confuse themself with real women and notice i said we it s not just me i m what the culture feelin how many more fairytale stories bout your life til we had enough how many more black features til you finally feel that you re black enough i like drake with the melodies i don t like drake when he act tough you gon make a nigga bring back puff let me see if chubbs really crash somethin yeah my first one like my last one it s a classic you don t have one let your core audience stomach that then tell em where you get your abs from v12 it s a fast one baow baow baow last one headshot for the year you better walk around like daft punk remember ayy top dawg who the fuck they think they playin with extortion my middle name as soon as you jump off of that plane bitch i m allergic to the lame shit only you like bein famous yachty can t give you no swag neither i don t give a fuck bout who you hang with i hate the way that you walk the way that you talk i hate the way that you dress surprised you wanted that feature request you know that we got some shit to address i even hate when you say the word nigga but that s just me i guess some shit just cringeworthy it ain t even gotta be deep i guess still love when you see success everything with me is blessed keep makin me dance wavin my hand and it won t be no threat i m knowin they call you the boy but where is a man cause i ain t seen him yet matter fact i ain t even bleed him yet can i bleed him bet when i see you stand by sexyy red i believe you see two bad bitches i believe you don t like women it s real competition you might pop ass with em let s speak on percentage show me your splits i ll make sure i double back with ya you were signed to a nigga that s signed to a nigga that said he was signed to that nigga try cease and desist on the like that record ho what you ain t like that record back to back i like that record i ma get back to that for the record why would i call around tryna get dirt on niggas y all think all my life is rap that s ho shit i got a son to raise but i can see you don t know nothin bout that wakin him up know nothin bout that then tell him to pray know nothin bout that then givin him tools to walk through life like day by day know nothin bout that teachin him morals integrity discipline listen man you don t know nothin bout that speakin the truth and consider what god s considerin you don t know nothin bout that ain t twenty v one it s one v twenty if i gotta smack niggas that write with you yeah bring em out too i ll clean em out too tell beam that he better stay right with you am i battlin ghost or ai nigga feelin like joel osteen funny he was in a film called a i and my sixth sense tellin me to off him i ma blick niggas all in they coffin yeah ov ho niggas is dick riders tell em run to america they imitate heritage they can t imitate this violence what i learned is niggas don t like the west coast and i m fine with it i ll push the line with it pick a nigga off one at a time with it we can be on a three hour time difference don t speak on the family crodie it can get deep in the family crodie talk about me and my family crodie someone gon bleed in your family crodie i be at new ho king eatin fried rice with a dip sauce and a blammy crodie tell me you re cheesin fam we can do this right now on the camera crodie ayy fuck y all niggas i don t trust y all niggas i wave one finger and thump y all niggas like mmm field goal punt y all niggas they punk y all niggas nobody never took my food whoever that s fuckin with him fuck you niggas and fuck the industry too if you take it there i m takin it further psst that s something you don t wanna do ooh we don t wanna hear you say nigga no more we don t wanna hear you say nigga no more stop138embed
Dirt Cheap,Cody Johnson,16 contributorsdirt cheap lyrics they came in thinkin top dollar to that old cotton crop farmer they knocked on his screen door and he said lord what you need boys and they said you know all the others went and cashed out we got the subdivision all mapped out it ll sit right here on this land and you could leave town a rich man and he said boys whatever you re offerin it won t be enough cause i got a little girl that used to swing right there i still see her pink bow in her brown hair she s in the big city but she still calls home what s she gonna do if she comes back and we re gone and ovеr there under that whitе oak tree beneath the cross is where my best buddy s buried lasted thirteen huntin seasons runnin strong keep your money cause a man can t leave his dog and over there is where i got down on one knee you can t buy that kind of dirt cheap one man smiled and he kinda looked away the other said before we go i gotta know one thing between the droughts and the floods through all the years what in the world got you through how the hell d you get here and he said see cody johnson liveget tickets as low as 45you might also like that little girl that used to swing right there i still see her pink bow in her brown hair runnin up after one of them long days a big smile makin every little worry fade and over there under that white oak tree beneath the cross where my best buddy s buried all them huntin seasons freezin in a jon boat me and him double barrel and a two stroke and that woman that said yes when i got down on one knee yeah you can t buy that kind of dirt cheap no it ain t somethin you fall into it s somethin god gives you and you hold on to just like that little girl who used to swing right there i still see her pink bow in her brown hair she s in the big city now but she still calls home she s comin back next week and man it s been too long and over there under that white oak tree beside the cross where my best buddy s buried lays a puppy posted up in the shade that woman never could turn away a stray i guess that s why she said yes when i got down on one knee oh long as all this is here why the hell would i ever leave you can t buy that kind of dirt cheap embed
Red Wine Supernova,Chappell Roan,41 contributorstranslationsdeutschespañolportuguêsfrançaisred wine supernova lyrics she was a playboy brigitte bardot she showed me things i didn t know she did it right there out on the deck put her canine teeth in the side of my neck i m in the hallway waitin for ya mini skirt and my go go boots uh uh i just want you to make a move so slow down sit down it s new i just wanna get to know ya guess i didn t quite think it through nah uh girl fell in love with the thought of you now i m choked up face down burnt out baby why don t you come over red wine supernova falling into me let s pick it up now i don t care that you re a stoner red wine supernova fall right into me i like i like what you like what you like long hair no bra it s my type that s right you just told me want me to fuck you baby i will cause i really want to see chappell roan liveget tickets as low as 352you might also like i just wanna get to know ya guess i didn t quite think it through nah uh girl fell in love with the thought of you now i m choked up face down burnt out baby why don t you come over red wine supernova falling into me okay y all let s pick it up now i don t care that you re a stoner red wine supernova fall right into me well back at my house i ve got a california king okay maybe it s a twin bed and some roommates don t worry we re cool i heard you like magic i ve got a wand and a rabbit so baby let s get freaky get kinky let s make this bed get squeaky baby why don t you come over red wine supernova falling into me i don t care that you re a stoner red wine supernova fall right into me7embed
Hot To Go!,Chappell Roan,37 contributorstranslationsdeutschfrançaishot to go lyrics five six five six seven eight i could be the one or your new addiction it s all in my head but i want non fiction i don t want the world but i ll take this city who can blame a girl call me hot not pretty baby do you like this beat i made it so you d dance with me it s like a hundred ninety nine degrees when you re doing it with me doing it with me h o t t o g o snap and clap and touch your toes raise your hands now body roll dance it out you re hot to go h o t t o g o snap and clap and touch your toes raise your hands now body roll h o t t o g o see chappell roan liveget tickets as low as 352you might also like h o t t o g o you can take me hot to go h o t t o g o you can take me hot to go well i woke up alone staring at my cеiling i try not to care but it hurts my feelings you don t have to stare comе here get with it no one s touched me there in a damn hot minute and baby don t you like this beat i made it so you d sleep with me it s like a hundred ninety nine degrees when you re doing it with me doing it with me h o t t o g o snap and clap and touch your toes raise your hands now body roll dance it out you re hot to go h o t t o g o snap and clap and touch your toes raise your hands now body roll h o t t o g o h o t t o g o you can take me hot to go h o t t o g o you can take me hot to go what s it take to get your number what s it take to bring you home hurry up it s time for supper order up i m hot to go what s it take to get your number hurry up it s getting cold hurry up it s time for supper order up i m hot to go h o t t o g o you can take me hot to go oh yeah h o t t o g o you can take me hot to go hot to go h o t t o g o you can take me hot to go oh yeah h o t t o g o you can take me hot to go whew it s hot in here is anyone else hot woo you coming home with me okay it s hot i ll call the cab2embed
Wild Ones,Jessie Murph & Jelly Roll,12 contributorswild ones lyrics hm mm yeah yeah got me wide wide open got a 45 on him and he pushin bout a 102 always smokin somethin he ain t worried bout nothin cause he ain t got nothing to lose i got a thing for the hard liquor on ice short days and long nights marlboros out the window middle finger to the sky say you wanna get dangerous now you re speakin my language i forgot what your name is so i ma call you mine mine i ma call you mine mine got me wide wide open got a 45 on him and he pushin bout a 102 always smokin somethin he ain t worried bout nothin cause he ain t got nothing to lose you might also like i got a thing for the wild ones wild wild wild i got a thing for the wild ones it s like he knew i got a thing for the wild ones wild wild wild i got a thing for the wild ones they like me too yeah i m attracted to things that are really crazy asking me how i ve been feelin lately coming for mine then it s do or die i won t let it slide no stealin bases no back and forth bargainin now no bitchin and arguin a whole lotta problems livin in gotham and bunnie s my harley quinn my harley quinn was raised in the darkness forgive me i m guarded guarded i have no shame i m in love with the heartless the police will never take us alive and cowgirls don t cry got me wide wide open got a 45 on him and he pushin bout a 102 always smokin somethin he ain t worried bout nothin cause he ain t got nothing to lose i got a thing for the wild ones wild wild wild i got a thing for the wild ones it s like he knew i got a thing for the wild ones wild wild wild i got a thing for the wild ones they like me too yeah wild wild wild a thing for the wild ones it s like he knew i got a thing for the wild ones wild wild wild got a thing for the wild ones they like me too hm embed
Wildflower,Billie Eilish,88 contributorstranslationsportuguêsالعربيةhebrewespañoltürkçeελληνικάdeutschitalianopolskifrançaisрусскийbahasa indonesiaукраїнськаnorsk bokmål riksmål wildflower lyrics things fall apart and time breaks your heart i wasn t there but i know she was your girl you showed her the world but fell out of love and you both let go she was cryin on my shoulder all i could do was hold her only made us closer until july now i know that you love me you don t need to remind me i should put it all behind me shouldn t i but i see her in the back of my mind all the time like a fever like i m burning alive like a sign did i cross the line mm hmm well good things don t last and life moves so fast i d never ask who was better cause she couldn t be more different from me happy and free in leather see billie eilish liveget tickets as low as 95you might also like and i know that you love me you don t need to remind me wanna put it all behind me but baby i see her in the back of my mind all the time feels like a fever like i m burning alive like a sign did i cross the line you say no one knows you so well oh but every time you touch me i just wonder how she felt valentine s day cryin in the hotel i know you didn t mean to hurt me so i kept it to myself and i wonder do you see her in the back of your mind in my eyes you say no one knows you so well but every time you touch me i just wonder how she felt valentine s day cryin in the hotel i know you didn t mean to hurt me so i kept it to myself7embed
Attitude,Don Toliver Featuring Charlie Wilson & Cash Cobain,1 contributortranslationsenglishdon toliver attitude ft cash cobain charlie wilson tradução em português lyrics oh oh fodendo aquela vadia e eu faço ela dizer oh oh oh oh oh oh tss fodendo aquela vadia e eu faço ela dizer oh oh oh oh cento e vinte milhões gerando fluxo de caixa acaba com tudo eu preciso de uma lamb com a traseira nela ah ah ah não me mostre essa bundinha coloque uma calça nela não mas baby você fica maluca faço ela dançar desde que eu comecei a ganhar dinheiro ganhei atitude não pode ser uma vadia falida eu posso ficar bravo com você não pode ser falida baby eu posso ficar bravo com você não pode ser uma vadia mano talvez eu roube a sua mina toda essa merda que eu tenho tenho eu tirei direto da panela eu tenho que completar o corpo dela tô fazendo isso tô deixando gostosa costumava usar polos e pradas costumava colocar as gramas na minha meia costumava foder as vadias na esquina agora eu e a minha mina estamos em um iate cento e vinte milhões gerando fluxo de caixa acaba com tudo eu preciso de uma lamb com a traseira nela ah ah ah não me mostre essa bundinha coloque uma calça nela não mas baby você fica maluca faço ela dançar yeah desde que eu comecei a ganhar dinheiro ganhei atitude ooh não pode ser uma vadia falida eu posso ficar bravo com você ah não pode ser falida baby eu posso ficar bravo com você ha não pode ser uma vadia mano talvez eu roube a sua mina you might also like por que você tá querendo de novo você você você sabe que eu vou te fazer gozar de novo eu vejo você na pista de dança oh eu quero um pouco mais e tô tornando isso realidade então baby então baby então me dê um bom amor então baby então baby então me dê um bom amor tss eu tenho o que você precisa esses caras não podem mexer comigo você quer andar elegante então venha até mim quer se divertir comigo tipo eu sou um preto rico não sou nenhum vagabundo eu quero alcatra tipo alcatra comigo eu como ela tão gostoso que ela vai gozar pra mim oh oh oh refrigerante de laranja no meu lean eu sou o baby keem o anel custou 25 mil são cinco por cento quando ela anda comigo oh oh oh é tipo a tia tamera não dá nem pra compará las mano não brinque com as pedras se você brincar eu te desafio cento e vinte milhões gerando fluxo de caixa acaba com tudo eu preciso de uma lamb com a traseira nela ah ah ah não me mostre essa bundinha coloque uma calça nela não mas baby você fica maluca faço ela dançar yeah desde que eu comecei a ganhar dinheiro ganhei atitude não pode ser uma vadia falida eu posso ficar bravo com você ha não pode ser falida baby eu posso ficar bravo com você ha não pode ser uma vadia mano talvez eu roube a sua minaembed
U My Everything,Sexyy Red & Drake,101 contributorsu my everything lyrics uh huh yeah tay keith fuck these niggas up yeah yeah yeah ah ahem i say hoo baby yep i love you bae bae i love you you my everything this for you i wrote this for you baby bae i love you you my everything i m your main bitch fuck a wedding ring we both in fast cars and we switchin lanes yoom when i m away from you you always on my brain nigga we go together tell them hoes we go together it s there nigga we go together tell them hoes wе go together i swear nigga wе go together tell them hoes we go together i don t care nigga we go together tell them hoes we go together sexyy in this world he protect me let them pistols bang baow if you fuck with me go tattoo my name i like to spoil him and he do the same i think we soulmates you my twin flame tell them hoes that shit dead i don t play bout you no he got my head fucked up and he hella cute it turn me on when he pull up on me in that coupe skrrt skrrt they be askin what is we i m like my whoopty woo on blood he be tellin me he love me and i love him too it s there i only knew him for a week but i swear this my boo i swear i might let the nigga trap me bitch my summer through i don t care but i don t even give a fuck do anything for you in this world you might also like bae i love you you my everything i m your main bitch fuck a wedding ring we both in fast cars and we switchin lanes yoom when i m away from you you always on my brain nigga we go together tell them hoes we go together it s there nigga we go together tell them hoes we go together i swear nigga we go together tell them hoes we go together i don t care nigga we go together tell them hoes we go together yeah sexyy in this world give me the pussy i m bullyin shit hit from the back and i m pullin your shit i had some smoke in the city i wanted to see you but baby i couldn t just dip you know the timin we on when my niggas start lurkin and tyin they hoodies and shit soon as this shit get resolved i ll turn to librarian for you i m bookin that shit let s do it red girl i love you let s do it showed enough love to the city i promise so let s get the fuck out st louis maybe we go to saint lucia i been there so i ll introduce you or maybe you go to saint martin with me if these niggas take break and quit startin with me maybe we go to saint kitts if you and your bd are calling it splits then maybe we call it an accident you slip you trip you fall on my dick why you love me still a mystery me and the surgeon got history i changed a lot of girls lives for real they need a new body they hittin me ayy bbl drizzy they want a new body they ask me for it the last one jung he did it for free cause i sent over so many past ones for him but red don t even worry about all of that shit just keep it natural for em i swear i got a passion for you i swear i got attraction for you i swear yeah you think i m a bachelor girl but i swear you ain t get your master s but i stay breakin your back in the master bedroom i swear you send a pic in them shorts and i had to send you a caption like i was there you the hood bitch of my dreams sexyy girl you just ask for me and i m there bae i love you you my everything i m your main bitch fuck a wedding ring we both in fast cars and we switchin lanes yoom when i m away from you you always on my brain nigga we go together tell them hoes we go together it s there nigga we go together tell them hoes we go together i swear nigga we go together tell them hoes we go together i don t care nigga we go together tell them hoes we go together sexyy in this world 1embed
Illusion,Dua Lipa,41 contributorstranslationsbahasa indonesiapolskiالعربيةespañoldeutschfrançaischinese traditionalitalianotürkçeportuguêsрусскийhebrewillusion lyrics i been known to miss a red flag i been known to put my lover on a pedestal in the end those things just don t last and it s time i take my rose coloured glasses off i already know your type tellin me the things i like mm tryna make me yours for life takin me for a ride mm i already know your type think you play your cards right mm don t you know i could do this dance all night ooh what you doin don t know who you think that you re confusin i be like ooh it s amusin you think i m gonna fall for an illusion dance all night dance all night dance all night dance all night i be like ooh dance all night dance all night dance all night dance dance was a time when that shit might ve worked was a time when i just threw a match and let it burn now i m grown i know what i deserve i still like dancin with the lessons i already learned see dua lipa liveget tickets as low as 74you might also like i already know your type tellin me the things i like mm tryna make me yours for life takin me for a ride mm i already know your type think you play your cards right mm don t you know i could do this dance all night ooh what you doin don t know who you think that you re confusin i be like ooh it s amusin you think i m gonna fall for an illusion dance all night dance all night dance all night dance all night i be like ooh dance all night dance all night dance all night dance dance illusion i really like the way you re movin yeah i just wanna dance with the illusion yeah i just wanna dance with yeah i just wanna dance with i could dance all night woo dance all night ooh ooh ooh ooh ooh what you doin don t know who you think that you re confusin i be like ooh it s amusin you think i m gonna fall for an illu illusion ooh ooh what you doin don t know who you think that you re confusin i be like ooh it s amusin illusion illusion illusion illusion you think i m gonna fall for an illusion7embed
Brother Stone,Don Toliver Featuring Kodak Black,52 contributorstranslationsportuguêsespañolbrother stone lyrics ayy ayy yeah birds in the trap they gon stink by tomorrow servin the act out a baby bottle don t tell me shut up you are not my boss turned up so much now i just can t turn off don t call me back since you can t answer when i call ya daddy was a rolling stone i get it from my father chains so heavy that i can t wear all em she know i was a devil cause i wear a lot of prada yee ooh ooh twin fifteens in the back of the old school lot but you know it ain t dumb enough shawty on the fifteenth floor in the paint with her pussy yeah finna come up uh knocked her down on the bed and cocked that head she a one hit wonder yeah bitch a big ol bag today it s mе oh yeah boy you better go keep up ooh ooh got my glockiе clipped to the hip just like a goddamn beeper beeper shawty all in my face and shit i don t know where i meet ya meet ya tryna play tough guy and shit she know i come and see shit they gon try to take it all try to put some fear in me my nine millimeter that s my damn security hardstone president you more like hillary you more like hillary i paint the picture vividly she love my imagery see don toliver liveget tickets as low as 149you might also like yeah birds in the trap they gon stink by tomorrow servin the act out a baby bottle don t tell me shut up you are not my boss turned up so much now i just can t turn off don t call me back since you can t answer when i call ya daddy was a rolling stone i get it from my father chains so heavy that i can t wear all em she know i was a devil cause i wear a lot of prada bitches say i m ugly they can kiss my ass niggas hatin on me but they copy my swag fuck respect and love as long as these niggas don t do shit to me throw shots all you want as long as shit s not literally pullin up poppin droppin shit let s go knowin i got the juice got the bass and i got the kick sittin in five percent she knowin i m low but you knowin i m lit double it triple it stuck it s stuck it s stuck whatever you get stuck it s startin to smell like a brick it s live it sound like a hit and five percent on the wraith i ain t finna give you shit no lil baby she want some more but i ain t finna give you shit some more might open up and close the door but i ain t finna give you shh birds in the trap they gon stink by tomorrow servin the act out a baby bottle smoke a lot of k2 i don t want no zaza whippin up the baby like goo goo ga ga hip til i hop then i rock and i roll soon i fucked that thot i make her dip like lo diplo on the beat but i think skip did this one dyryk spanish but that s still my motherfuckin nigga cdawg that s my dawg sometimes i call him dawg c of all these other niggas why you wanna love me i started this in juvi i don t let down my collar even when i grew up i just wanna be a robber birds in the trap they gon stink by tomorrow servin the act out a baby bottle don t tell me shut up you are not my boss turned up so much now i just can t turn off don t call me back since you can t answer when i call ya daddy was a rolling stone i get it from my father chains so heavy that i can t wear all em she know i was a devil cause i wear a lot of prada1embed
Nasty,Tinashe,16 contributorstranslationspolskiespañoldeutschnasty lyrics cause it feels like heaven when it hurts so bad baby put it on me i like it just like that just like that i ve been a nasty girl nasty i ve been a nasty girl nasty i ve been a nasty girl nasty i ve been a nasty nasty nasty is somebody gonna match my freak is somebody gonna match my freak is somebody gonna match my nasty i got stamina they say i m an athlete is somebody gonna match my freak match my freak need somebody with a good technique good technique is somebody gonna match my nasty pillow talking got my throat raspy if you keep up with me i ll keep on comin back if you do it too good i m gonna get attached cause it feels like heaven when it hurts so bad baby put it on me i like it just like that just like that you might also like i vе been a nasty girl nasty i ve been a nasty girl nasty just like that i ve been a nasty girl nasty i vе been a nasty nasty nasty i like it just like that i ve been a nasty girl nasty i ve been a nasty girl nasty just like that i ve been a nasty girl nasty i ve been a nasty nasty nasty big time pull up make a scene party s lame no vibe we can leave shotgun my thighs on his seat i ain t got nothing underneath oh uh uh looks like you re bout to spend the night match my freak uh uh looks like i m bout to change your life match my freak uh uh wife type he s staying for a week so i might just let him pay the lease if you keep up with me i ll keep on comin back woah woah oh if you do it too good i m gonna get attached woah woah oh cause it feels like heaven when it hurts so bad baby put it on me i like it just like that like it just like that i ve been a nasty girl nasty i ve been a nasty girl nasty just like that i ve been a nasty girl nasty i ve been a nasty nasty nasty i like it just like that i ve been a nasty girl nasty i ve been a nasty girl nasty just like that i ve been a nasty girl nasty oh i ve been a nasty nasty nasty if you keep up with me i ll keep on comin back if you do it too good i m gonna get attached cause it feels like heaven when it hurts so bad baby put it on me i like it just like that like it just like that just like that uh uh uh uh nasty nasty nasty uh uh uh uh nasty nasty nasty uh uh uh uh nasty nasty nasty uh uh uh uh nasty nasty nasty1embed
We Ride,Bryan Martin,3 contributorswe ride lyrics well i ve been known to write a few songs lovin and leavin and gettin too stoned bottle and a pistol by my side the devil s always along for the ride we ride down to the creek by the water i ve been baptized by the preacher s daughter lucky for me no he never caught us oh oh we ride to the bar by the levee 85 jacked up square body chevy blanket in the back when it gets hot and heavy oh oh we ridе pedal to the floorboard she bеggin for more sippin on apple pie moonshine and i ll be gone by the mornin light yeah cause i ve been known to write a few songs lovin and leavin and gettin too stoned bottle and a pistol by my side the devil s always along for the ride we ride across state lines rubbin two nickels just tryin to make a dime hard to make a livin while the gas is so high oh we ride like a harley on a two lane palomino crossplane drop her down to four wheel drive on a friday night crackin open a cold bud light oh we ride pushin through the hard love lookin for my give a fuck needle peggin ninety five but that s alright cause i m runnin every red light you might also like yeah cause i ve been known to write a few songs lovin and leavin and gettin too stoned bottle and a pistol by my side the devil s always along for the ride oh we ride oh we ride yeah cause i ve been known to write a few songs lovin and leavin and gettin too stoned bottle and a pistol by my side the devil s always along for the ride yeah i ve been known to write a few songs lovin and leavin and gettin too stoned bottle and a pistol by my side the devil s always along for the ride oh along for that ride the devil s always along for that rideembed
Down Bad,Taylor Swift,120 contributorstranslationstürkçeportuguêsespañolالعربيةفارسیсрпскиfrançaisitalianoрусскийslovenščinanorsk bokmål riksmål polskideutschdown bad lyrics did you really beam me up in a cloud of sparkling dust just to do experiments on tell me i was the chosen one showed me that this world is bigger than us then sent me back where i came from for a moment i knew cosmic love now i m down bad cryin at the gym everything comes out teenage petulance fuck it if i can t have him i might just die it would make no difference down bad wakin up in blood starin at the sky come back and pick me up fuck it if i can t have us i might just not get up i might stay down bad fuck it if i can t have him down bad fuck it if i can t have him see taylor swift liveget tickets as low as 232you might also like did you take all my old clothes just to leave me here naked and alone in a field in my same old town that somehow seems so hollow now they ll say i m nuts if i talk about the existence of you for a moment i was heavenstruck now i m down bad cryin at the gym cryin at the gym everything comes out teenage petulance fuck it if i can t have him fuck it if i can t have him i might just die it would make no difference down bad wakin up in blood wakin up in blood starin at the sky come back and pick me up fuck it if i can t have us i might just not get up i might stay down bad like i lost my twin fuck it if i can t have him down bad down bad wavin at the ship fuck it if i can t have him i loved your hostile takeovers encounters closer and closer all your indecent exposures how dare you say that it s i ll build you a fort on some planet where they can all understand it how dare you think it s romantic leaving me safe and stranded cause fuck it i was in love so fuck you if i can t have us cause fuck it i was in love now i m down bad cryin at the gym cryin at the gym everything comes out teenage petulance fuck it if i can t have him can t have him i might just die it would make no difference down bad wakin up in blood wakin up in blood starin at the sky come back and pick me up fuck it if i can t have us i might just not get up i might stay down bad like i lost my twin fuck it if i can t have him i m down bad down bad wavin at the ship fuck it if i can t have him like i lost my twin fuck it if i can t have him down bad wavin at the ship fuck it if i can t have him9embed
Think I'm In Love With You,Chris Stapleton,7 contributorsthink i m in love with you lyrics baby do you ever wonder whatever happened way back when or if i ll see you again and maybe if you ever wonder aw you might wish things could change i know this might sound strange but i think i m in love with you i didn t know it at the time i know what i want to do it s makin me lose my mind i thought about thinkin it through and every time i do i find i wanna make your dreams come true i think i m in love with you i m in love with you ooh you are the power over me you are the truth that i believe you are my life you are my world you are thе air i m breathin girl you are the light i want to see you rе all of everythin to me you are the reasons that i am woman see chris stapleton liveget tickets as low as 15you might also like i think i m in love with you i didn t know it at the time i know what i want to do it s makin me lose my mind i thought about thinkin it through and every time i do i find i wanna make your dreams come true i think i m in love with you i m in love with you oh i think i m in love with you i didn t know it at the time i know what i want to do it s makin me lose my mind girl i thought about thinkin it through and every time i do i find i wanna make your dreams come true i think i m in love with you i m in love with you oh i think i m in love with you i didn t know it at the time i know what i want to do it s makin me lose my mind girl i thought about thinkin it through and every time i do i find i wanna make your dreams come true i think i m in love with you i m in love with you i think i m in love with you i think i m in love with you i think i m in love with you i think i m in love with you i think i m in love with you i think i m in love with youembed
Wind Up Missin' You,Tucker Wetmore,6 contributorstranslationsespañolportuguêswind up missin you lyrics i know i might look like another ball cap on a bar stool underneath the pbr light sayin everything under the moon to get you into my arms tonight you probably heard it all a thousand times but it ain t what it looks like girl let me tell you what it looks like you look like waves on a sunset and you can crash on me all night you look like wine in a truck bed a little what i m doin for the rest of my life cause you look like i m done lookin but girl the hard truth is if this night don t turn into two you look like i m gonna wind up missin you i gotta tell you baby i ve been the kind of boy your daddy never wanted you to go and fall in love with the kinda boys your probably done with their dumb shit i bet you heard the stories and can t say i m proud of that but i ve turned the page on the old me and now i ain t lookin back cause you look like waves on a sunset and you can crash on me all night you look like wine in a truck bed a little what i m doin for the rest of my life cause you look like i m done lookin but girl the hard truth is if this night don t turn into two you look like i m gonna wind up missin you might also like missin you in the mornin probably for the next few years when i ll look back on it i ll sing sing it right here you look like waves on a sunset and you can crash on me all night you look like wine in a truck bed a little what i m doin for the rest of my life cause you look like i m done lookin but girl the hard truth is if this night don t turn into two you look like i m gonna wind up missin you wind up missin you wind up missin youembed
Wine Into Whiskey,Tucker Wetmore,4 contributorswine into whiskey lyrics usually see her with some sauvignon blanc in her glass sipping slow down she ain t out tipping it back but if you see her out tonight she ll be flirting with jack yeah and i m the only one to blame ain t the 90 proof type but tonight it ll work anything to numb the pain or to drown out the hurt tried to tell her bout my kind and boy did she learn i just ain t the type of soul you save but she tried and i did what i do best i took a good thing and i turned it into goodbye took the fire in her eyes put it on ice turned that angels world upside down dipped her wings in tennessee brown i turned her calling me into calling me a mistake turned heart of gold into a heartbreak if i was her i d damn sure hate me i turned her love into pain and her wine into whiskey she said i was misunderstood but i proved her wrong i m the same old me that i ve been all along now she s looking for some peace in a bottle of strong me and number 7 getting gone you might also like i took a good thing and i turned it into goodbye took the fire in her eyes put it on ice turned that angels world upside down dipped her wings in tennessee brown i turned her calling me into calling me a mistake turned heart of gold into a heartbreak if i was her i d damn sure hate me i turned her love into pain and her wine into whiskey yeah she tried and i did what i do best i took a good thing and i turned it into goodbye took the fire in her eyes put it on ice turned that angels world upside down dipped her wings in tennessee brown i turned her calling me into calling me a mistake turned heart of gold into a heartbreak if i was her i d damn sure hate me i turned her love into pain and her wine into whiskeyembed
